epoch,lr,train_loss,val_loss,train_acc,val_acc,train_time_taken,val_time_taken,val_conf_mat
102,9.045084971874918e-06,0.181,0.1087,93.25,95.54,31.45,1.69,"[2889, 10, 45, 12, 2845, 105, 209, 97, 4726]"
103,7.938926261462524e-06,0.1793,0.1145,93.33,95.76,31.41,1.71,"[2895, 10, 39, 12, 2882, 68, 228, 95, 4709]"
104,6.545084971874863e-06,0.1791,0.1109,93.43,95.42,30.6,1.66,"[2888, 12, 44, 12, 2836, 114, 214, 95, 4723]"
105,5.000000000000089e-06,0.1787,0.1091,93.29,95.49,31.11,1.75,"[2891, 11, 42, 14, 2845, 103, 219, 93, 4720]"
106,3.4549150281253156e-06,0.1822,0.1082,93.27,95.83,31.17,1.76,"[2889, 11, 44, 8, 2871, 83, 209, 90, 4733]"
107,2.061073738537685e-06,0.1788,0.1084,93.4,95.43,31.14,1.69,"[2890, 12, 42, 10, 2838, 114, 221, 92, 4719]"
108,9.54915028125284e-07,0.1762,0.1121,93.38,95.93,30.94,1.72,"[2894, 11, 39, 12, 2895, 55, 220, 96, 4716]"
109,2.4471741852424684e-07,0.177,0.109,93.27,95.36,31.51,1.68,"[2891, 10, 43, 14, 2834, 114, 228, 87, 4717]"
110,0.0,0.1766,0.1102,93.49,95.82,31.22,1.75,"[2894, 11, 39, 14, 2891, 57, 223, 102, 4707]"
111,2.447174185242324e-07,0.1771,0.1085,93.38,95.79,31.58,1.73,"[2889, 12, 43, 12, 2871, 79, 209, 96, 4727]"
112,9.549150281252785e-07,0.1745,0.1062,93.56,95.59,31.11,1.7,"[2888, 12, 44, 12, 2832, 118, 204, 83, 4745]"
113,2.061073738537678e-06,0.1778,0.1125,93.43,95.91,31.33,1.75,"[2892, 11, 41, 12, 2893, 57, 222, 93, 4717]"
114,3.45491502812531e-06,0.1772,0.1061,93.5,95.67,31.41,1.73,"[2888, 12, 44, 12, 2836, 114, 201, 82, 4749]"
115,5.000000000000122e-06,0.1788,0.1067,93.29,96.3,30.73,1.71,"[2888, 12, 44, 8, 2895, 59, 174, 98, 4760]"
116,6.545084971874864e-06,0.1727,0.1042,93.6,95.91,31.19,1.77,"[2888, 12, 44, 12, 2834, 116, 173, 81, 4778]"
117,7.938926261462529e-06,0.1739,0.1061,93.5,95.98,31.54,1.77,"[2889, 12, 43, 8, 2880, 74, 208, 85, 4739]"
